,precision,recall,f1-score,support
Afghan,0.2857142857142857,0.2,0.23529411764705882,10.0
American Hairless,0.5,0.3,0.37499999999999994,10.0
American Spaniel,0.2,0.2,0.20000000000000004,10.0
Basset,0.08333333333333333,0.1,0.0909090909090909,10.0
Beagle,0.5,0.6,0.5454545454545454,10.0
Bloodhound,0.0,0.0,0.0,10.0
Border Collie,0.4375,0.7,0.5384615384615384,10.0
Boston Terrier,0.5,0.2,0.28571428571428575,10.0
Boxer,0.4,0.2,0.26666666666666666,10.0
Bull Terrier,0.6,0.3,0.4,10.0
Bulldog,0.2,0.2,0.20000000000000004,10.0
Chihuahua,0.5,0.3,0.37499999999999994,10.0
Cockapoo,0.2631578947368421,0.5,0.3448275862068966,10.0
Cocker,0.0,0.0,0.0,10.0
Collie,0.0,0.0,0.0,10.0
Corgi,0.0,0.0,0.0,10.0
Dalmation,0.4444444444444444,0.4,0.4210526315789474,10.0
Doberman,0.625,0.5,0.5555555555555556,10.0
French Bulldog,0.0,0.0,0.0,10.0
German Sheperd,0.0,0.0,0.0,10.0
Golden Retriever,0.0,0.0,0.0,10.0
Great Dane,0.125,0.1,0.11111111111111112,10.0
Greyhound,0.6666666666666666,0.8,0.7272727272727272,10.0
Irish Spaniel,0.3076923076923077,0.4,0.34782608695652173,10.0
Irish Wolfhound,0.15384615384615385,0.2,0.17391304347826086,10.0
Labradoodle,0.11764705882352941,0.2,0.14814814814814817,10.0
Labrador,0.2,0.3,0.24,10.0
Newfoundland,0.09090909090909091,0.1,0.09523809523809525,10.0
Pit Bull,0.2727272727272727,0.3,0.28571428571428564,10.0
Pomeranian,0.0,0.0,0.0,10.0
Poodle,0.0,0.0,0.0,10.0
Pug,0.0,0.0,0.0,10.0
Rottweiler,0.25,0.2,0.22222222222222224,10.0
Saint Bernard,0.14285714285714285,0.1,0.11764705882352941,10.0
Schnauzer,0.30434782608695654,0.7,0.42424242424242425,10.0
Scotch Terrier,0.08333333333333333,0.1,0.0909090909090909,10.0
Shiba Inu,0.2857142857142857,0.2,0.23529411764705882,10.0
Shih-Tzu,0.18181818181818182,0.4,0.25000000000000006,10.0
Siberian Husky,0.0,0.0,0.0,10.0
Yorkie,0.0,0.0,0.0,10.0
accuracy,0.22,0.22,0.22,0.22
macro avg,0.21804273196759566,0.22000000000000003,0.20758686074895155,400.0
weighted avg,0.21804273196759566,0.22,0.20758686074895152,400.0
